V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
employees,general,communist,school,grand,mr,act,opinion,speech,advertising,candidates,injunction,limits,affirmed,FALSE,solicitation,flag,obscene,religious,ordinance
employee,attorney,party,religious,jury,debate,congress,filed,government,commercial,candidate,review,federal,syllabus,statements,charitable,words,obscenity,tax,city
employment,briefs,organization,schools,press,senator,committee,joined,interest,speech,political,maryland,election,decided,jury,fraud,peace,material,prison,picketing
public,solicitor,board,student,information,clause,answer,district,act,regulations,election,district,buckley,argued,damages,paid,conviction,materials,religion,public
union,argued,foreign,establishment,footnote,legislative,service,post,interests,information,footnote,restraint,bcra,freedom,petitioner,fee,ohio,film,inmates,streets
board,assistant,registration,religion,privilege,said,inquiry,respondents,governmental,central,contributions,prior,contributions,held,malice,organizations,convicted,sexual,rfra,ordinances
political,cause,act,students,news,privilege,president,held,opinion,cable,party,judicial,campaign,act,times,requirement,conduct,standards,exercise,park
labor,curiae,control,forum,criminal,plaintiff,united,argued,case,marketing,expenditures,order,political,law,respondent,telemarketers,street,films,burden,police
employer,brief,movement,program,sources,office,questions,dissenting,united,interest,contribution,footnote,candidates,case,actual,circulators,symbol,indecent,inmate,permit
government,jr,organizations,university,investigation,house,security,jj,states,broadcasting,campaign,relief,candidate,reversed,trial,north,group,minors,sales,regulation
