,employees.employee.employment.public.union.board.political.labor.employer.government,general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr,communist.party.organization.board.foreign.registration.act.control.movement.organizations,school.religious.schools.student.establishment.religion.students.forum.program.university,grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation,mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house,act.congress.committee.answer.service.inquiry.president.united.questions.security,opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj,speech.government.interest.act.interests.governmental.opinion.case.united.states,advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting,candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign,injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief,limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate,affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed,false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial,solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north,flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group,obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors,religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales,ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation,syllabus
1,0,0.000503525,0,0,0.003524673,0.902819738,0,0.022155086,0.007049345,0,0.004531722,0.001007049,0,0.004028197,0.038267875,0,0.010070493,0.003524673,0.000503525,0.002014099,syllabus1
2,0.020833333,0,0.118055556,0.006944444,0,0,0.006944444,0.027777778,0.055555556,0,0,0.277777778,0,0.486111111,0,0,0,0,0,0,syllabus2
3,0,0,0,0,0.026315789,0.280701754,0.002923977,0.102339181,0.002923977,0,0,0,0.058479532,0.225146199,0.274853801,0,0.026315789,0,0,0,syllabus3
4,0,0,0.110091743,0,0.001146789,0.025229358,0,0.003440367,0.018348624,0,0.038990826,0.026376147,0,0.127293578,0.004587156,0.001146789,0,0.604357798,0.012614679,0.026376147,syllabus4
5,0.007462687,0,0,0,0.119402985,0,0,0,0.007462687,0.029850746,0,0,0,0.78358209,0.029850746,0,0,0.02238806,0,0,syllabus5
6,0,0,0,0,0.005813953,0.11627907,0.005813953,0.034883721,0.023255814,0,0,0.005813953,0,0.63372093,0.11627907,0,0.034883721,0,0.023255814,0,syllabus6
7,0,0.017391304,0.034782609,0,0,0,0.191304348,0.017391304,0.034782609,0,0,0,0,0.565217391,0.008695652,0,0.130434783,0,0,0,syllabus7
8,0,0,0,0,0,0.024193548,0.233870968,0,0,0,0,0.008064516,0,0.701612903,0,0,0.008064516,0.016129032,0,0.008064516,syllabus8
9,0,0,0,0,0,0,0,0.155172414,0.068965517,0,0,0,0,0.689655172,0.034482759,0,0.034482759,0.017241379,0,0,syllabus9
10,0,0,0.011363636,0,0,0,0,0,0,0,0.011363636,0,0,0.886363636,0.011363636,0,0.056818182,0,0.011363636,0.011363636,syllabus10
11,0,0,0.004273504,0,0.004273504,0,0,0.004273504,0,0,0,0,0.004273504,0.700854701,0.273504274,0,0.008547009,0,0,0,syllabus11
12,0,0.013888889,0,0,0.013888889,0.041666667,0,0.222222222,0.083333333,0,0,0,0,0.5,0.125,0,0,0,0,0,syllabus12
13,0,0,0.01010101,0.005050505,0.085858586,0,0.106060606,0,0.005050505,0,0,0.267676768,0.01010101,0.373737374,0.131313131,0,0,0,0,0.005050505,syllabus13
14,0.00390625,0.01953125,0,0,0.01171875,0.05078125,0,0,0,0,0,0,0,0.72265625,0,0,0.1875,0,0.00390625,0,syllabus14
15,0.010989011,0,0.036630037,0,0.003663004,0.007326007,0.014652015,0.084249084,0.007326007,0,0,0.043956044,0,0.73992674,0.007326007,0.003663004,0.025641026,0.003663004,0,0.010989011,syllabus15
16,0,0,0,0,0,0.055172414,0.027586207,0,0,0,0,0.04137931,0,0.786206897,0.068965517,0,0,0,0.013793103,0.006896552,syllabus16
17,0.011173184,0,0,0,0.005586592,0.05027933,0,0,0,0,0,0.027932961,0.005586592,0.843575419,0.022346369,0,0.027932961,0,0.005586592,0,syllabus17
