,tax.press.materials.california.exemption.trial.arkansas.privacy.sales.right,ordinance.city.public.ordinances.streets.park.license.regulation.permit.religious,school.religious.schools.religion.establishment.clause.education.program.district.students,grand.jury.privilege.press.information.senator.debate.legislative.criminal.subpoena,candidates.candidate.political.election.contributions.party.campaign.expenditures.disclosure.contribution,limits.election.federal.buckley.contributions.bcra.campaign.contribution.candidates.candidate,employees.public.labor.employee.union.picketing.concern.speech.employment.government,speech.government.interest.post.district.jj.states.interests.act.united,district.judgment.injunction.review.action.appeals.order.motion.judicial.jurisdiction,advertising.commercial.speech.regulations.broadcasting.information.marketing.central.puerto.fcc,statements.false.jury.new.damages.york.malice.times.trial.actual,prison.religious.inmates.rfra.exercise.religion.inmate.free.prisoners.security,forum.speech.university.student.policy.access.program.viewpoint.students.message,foreign.agents.snepps.information.snepp.cia.plaintiffs.terrorist.intelligence.trust,communist.party.organization.board.registration.foreign.act.organizations.control.movement,act.congress.united.states.members.rights.committee.activities.right.questions,conviction.flag.speech.freedom.words.convicted.violence.criminal.peace.free,general.attorney.briefs.cause.solicitor.assistant.deputy.jr.john.urging,obscene.obscenity.material.film.films.materials.standards.exhibition.sexual.children,mr.said.plaintiff.office.evidence.defendants.paper.stated.prosecution.matter,syllabus,index
1,0.001525941,0,0.003560529,0.001525941,0,0,0.002543235,0,0,0,0.008138352,0,0,0.000508647,0.00508647,0,0,0.002034588,0.000508647,0.97456765,syllabus1,0
2,0,0,0,0,0.068181818,0,0,0,0.265151515,0,0,0,0,0,0,0.136363636,0,0,0,0.53030303,syllabus2,1
3,0.003030303,0,0,0.024242424,0.024242424,0.018181818,0,0,0.254545455,0.003030303,0.151515152,0.003030303,0,0,0.012121212,0,0.063636364,0.009090909,0,0.433333333,syllabus3,2
4,0.00817757,0.067757009,0.002336449,0.002336449,0.061915888,0,0.002336449,0,0.029205607,0,0.003504673,0.002336449,0,0.001168224,0.087616822,0.045560748,0.012850467,0,0.578271028,0.094626168,syllabus4,3
5,0,0,0,0.06557377,0.008196721,0,0,0,0.016393443,0.008196721,0.008196721,0.008196721,0,0.008196721,0.008196721,0.106557377,0.56557377,0,0,0.196721311,syllabus5,4
6,0.012048193,0,0.006024096,0,0,0,0,0.060240964,0,0,0,0,0,0,0,0.042168675,0.289156627,0,0.012048193,0.578313253,syllabus6,5
7,0,0,0,0,0,0,0,0.102803738,0,0,0,0,0.046728972,0,0.056074766,0.140186916,0.196261682,0,0,0.457943925,syllabus7,6
8,0,0,0,0,0,0,0,0,0.017241379,0,0.017241379,0,0,0,0,0.293103448,0.24137931,0,0,0.431034483,syllabus8,7
9,0,0.018867925,0.018867925,0,0.018867925,0,0,0.018867925,0.547169811,0,0,0,0,0,0.037735849,0.075471698,0.188679245,0,0,0.075471698,syllabus9,8
10,0,0,0,0,0,0,0,0,0.05,0,0.025,0,0,0,0,0.2625,0.5,0,0,0.1625,syllabus10,9
