caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,landmark,protected,multipledec,majority,dissent,novote,lat,long
1918-168,1918-168-01,1918-168-01-01,1918-168-01-01-01,3/3/1919,1.0,249 U.S. 47,1918,905,White,437,SCHENCK v. UNITED STATES,1/9/1919,,126.0,,27.0,,13.0,,,0.0,109.0,,109.0,,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30060.0,3.0,1.0,0.0,4.0,,3.0,346.0,,59.0,56.0,1,9,0,Yes,No,No,"[95, 58, 59, 60, 64, 66, 67, 68, 69]",,,39.951529,-75.15111800000001
1919-014,1919-014-01,1919-014-01-01,1919-014-01-01-01,11/10/1919,1.0,250 U.S. 616,1919,905,White,316,ABRAMS et al. v. UNITED STATES,10/21/1919,,142.0,,27.0,,13.0,,,0.0,96.0,,96.0,,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30060.0,3.0,1.0,0.0,3.0,,9.0,900.0,,69.0,56.0,1,7,2,Yes,No,No,"[56, 58, 60, 64, 66, 67, 69]","[59, 68]",,40.713663000000004,-74.00086999999999
1924-169,1924-169-01,1924-169-01-01,1924-169-01-01-01,6/8/1925,1.0,268 U.S. 652,1924,1005,Taft,19,GITLOW v. PEOPLE OF NEW YORK,4/12/1923,11/23/1923,126.0,,28.0,37.0,13.0,,,0.0,302.0,37.0,300.0,37.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,200.0,,73.0,70.0,1,7,2,Yes,No,Yes,,,,42.649638,-73.750235
1930-059,1930-059-01,1930-059-01-01,1930-059-01-01-01,5/18/1931,1.0,283 U.S. 359,1930,1102,Hughes,584,STROMBERG v. CALIFORNIA,4/15/1931,,126.0,,28.0,6.0,2.0,,,0.0,302.0,6.0,300.0,6.0,0.0,1.0,9.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,75.0,75.0,1,7,2,Yes,No,No,"[75, 59, 64, 68, 71, 74, 76]","[67, 72]",,37.781946999999995,-122.418145
1936-115,1936-115-01,1936-115-01-01,1936-115-01-01-01,4/26/1937,1.0,301 U.S. 242,1936,1103,Hughes,474,"HERNDON v. LOWRY, SHERIFF",2/8/1937,,215.0,,8.0,13.0,2.0,117.0,13.0,0.0,302.0,13.0,300.0,13.0,0.0,1.0,6.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,30060.0,3.0,2.0,0.0,3.0,,9.0,900.0,,76.0,75.0,1,5,4,Yes,Yes,No,"[76, 63, 68, 74, 77]","[64, 67, 71, 72]",,32.8372,-83.62544799999999
1939-012,1939-012-01,1939-012-01-01,1939-012-01-01-01,11/22/1939,1.0,308 U.S. 147,1939,1107,Hughes,11,SCHNEIDER v. STATE (TOWN OF IRVINGTON),10/13/1939,,126.0,,3.0,35.0,1.0,,,0.0,302.0,35.0,300.0,35.0,0.0,10.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,76.0,75.0,1,7,1,Yes,No,No,"[76, 75, 72, 74, 78, 79, 80, 81, 67]",,,40.72959,-74.17282900000001
1939-082,1939-082-01,1939-082-01-01,1939-082-01-01-01,4/22/1940,1.0,310 U.S. 88,1939,1108,Hughes,514,THORNHILL v. ALABAMA,2/29/1940,,126.0,,28.0,1.0,1.0,117.0,1.0,0.0,302.0,1.0,301.0,1.0,0.0,10.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,8.0,800.0,,82.0,75.0,1,8,1,Yes,No,No,"[82, 75, 74, 76, 78, 79, 80, 81]",[67],,32.375105,-86.30960999999999
1940-152,1940-152-01,1940-152-01-01,1940-152-01-01-01,3/31/1941,1.0,312 U.S. 569,1940,1108,Hughes,502,COX et al. v. NEW HAMPSHIRE,3/7/1941,,130.0,,28.0,34.0,2.0,,,0.0,302.0,34.0,300.0,34.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,4.0,8.0,800.0,,75.0,75.0,1,8,0,Yes,No,No,"[75, 74, 76, 78, 79, 80, 81, 82]",,,43.201826000000004,-71.539846
1941-137,1941-137-01,1941-137-01-01,1941-137-01-01-01,4/13/1942,1.0,316 U.S. 52,1941,1202,Stone,707,"VALENTINE, POLICE COMMISSIONER OF THE CITY OF NEW YORK, v. CHRESTENSEN",3/31/1942,,19.0,37.0,218.0,,1.0,117.0,37.0,0.0,96.0,,22.0,,0.0,12.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30020.0,3.0,1.0,0.0,2.0,,2.0,200.0,,76.0,74.0,1,9,0,Yes,No,No,"[74, 111, 78, 79, 80, 81, 82, 83, 55]",,,40.713663000000004,-74.00086999999999
1947-098,1947-098-01,1947-098-01-01,1947-098-01-01-01,6/7/1948,1.0,334 U.S. 558,1947,1301,Vinson,504,SAIA v. NEW YORK,3/30/1948,,130.0,,28.0,37.0,2.0,,,0.0,302.0,37.0,300.0,37.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,81.0,87.0,1,5,4,Yes,Yes,No,"[81, 87, 78, 82, 85]","[80, 79, 86, 84]",,42.649638,-73.750235
