"","index","employees.employee.employment.public.union.board.political.labor.employer.government","general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr","communist.party.organization.board.foreign.registration.act.control.movement.organizations","school.religious.schools.student.establishment.religion.students.forum.program.university","grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation","mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house","act.congress.committee.answer.service.inquiry.president.united.questions.security","opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj","speech.government.interest.act.interests.governmental.opinion.case.united.states","advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting","candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign","injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief","limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate","affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed","false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial","solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north","flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group","obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors","religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales","ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation","syllabus","caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","landmark"
"1",0,0,0.000503524672708963,0,0,0.00352467270896274,0.90281973816717,0,0.0221550855991944,0.00704934541792548,0,0.00453172205438067,0.00100704934541793,0,0.0040281973816717,0.0382678751258812,0,0.0100704934541793,0.00352467270896274,0.000503524672708963,0.00201409869083585,"syllabus1","1845-032","1845-032-01","1845-032-01-01","1845-032-01-01-01","2/11/1845",1,"44 U.S. 266",1845,505,"Taney","","ROBERT WHITE, PLAINTIFF IN ERROR, v. WILLIAM S. NICHOLLS, WILLIAM ROBINSON, OTHO M. LINTHICUM, EDWARD M. LINTHICUM, RAPHAEL SEMMES, PAUL STEVENS, AND CHARLES C. FULTON, DEFENDANTS IN ERROR.","1/15/1845","",174,NA,137,NA,4,NA,NA,0,409,NA,409,NA,1,1,NA,NA,1,10,0,2,0,0,30030,3,2,0,7,NA,6,600,"",29,25,1,7,0,"No"
"2",1,0.0208333333333333,0,0.118055555555556,0.00694444444444444,0,0,0.00694444444444444,0.0277777777777778,0.0555555555555556,0,0,0.277777777777778,0,0.486111111111111,0,0,0,0,0,0,"syllabus2","1912-005","1912-005-01","1912-005-01-01","1912-005-01-01-01","11/18/1912",1,"226 U.S. 53",1912,902,"White","31","SMITH AND OTHERS, TRADING UNDER THE FIRM NAME OF STREET & SMITH, APPELLANTS, v. HITCHCOCK, POSTMASTER-GENERAL","11/5/1912","",220,NA,412,NA,2,112,NA,0,19,NA,32,NA,0,1,3,1,1,2,0,0,0,0,30010,3,1,0,5,NA,6,600,"2d class mail",59,56,1,9,0,"No"
"3",2,0,0,0,0,0.0263157894736842,0.280701754385965,0.00292397660818713,0.10233918128655,0.00292397660818713,0,0,0,0.0584795321637427,0.225146198830409,0.274853801169591,0,0.0263157894736842,0,0,0,"syllabus3","1913-010","1913-010-01","1913-010-01-01","1913-010-01-01-01","12/22/1913",1,"231 U.S. 588",1913,902,"White","41","BAKER v. WARNER","11/5/1913","",19,10,220,NA,13,NA,NA,0,19,NA,32,NA,0,1,4,2,1,4,0,1,0,0,30030,3,3,0,3,3,9,900,"",65,56,1,9,0,"No"
"4",3,0,0,0.110091743119266,0,0.00114678899082569,0.0252293577981651,0,0.00344036697247706,0.018348623853211,0,0.0389908256880734,0.0263761467889908,0,0.127293577981651,0.00458715596330275,0.00114678899082569,0,0.604357798165138,0.0126146788990826,0.0263761467889908,"syllabus4","1914-211","1914-211-01","1914-211-01-01","1914-211-01-01-01","2/23/1915",1,"236 U.S. 230",1914,903,"White","456","MUTUAL FILM CORPORATION v. INDUSTRIAL COMMISSION OF OHI","1/6/1915","",156,NA,4,41,2,117,41,1,103,NA,103,NA,0,1,NA,1,1,2,0,0,0,0,30190,3,1,0,4,2,2,200,"",58,56,1,9,0,"No"
"5",4,0.00746268656716418,0,0,0,0.119402985074627,0,0,0,0.00746268656716418,0.0298507462686567,0,0,0,0.783582089552239,0.0298507462686567,0,0,0.0223880597014925,0,0,"syllabus5","1914-215","1914-215-01","1914-215-01-01","1914-215-01-01-01","2/23/1915",1,"236 U.S. 273",1914,903,"White","134","FOX v. STATE OF WASHINGTON","","",126,NA,28,56,13,NA,NA,0,302,56,301,56,0,1,2,1,1,2,0,0,0,0,30190,3,1,0,4,2,2,230,"",59,56,1,9,0,"No"
"6",5,0,0,0,0,0.00581395348837209,0.116279069767442,0.00581395348837209,0.0348837209302326,0.0232558139534884,0,0,0.00581395348837209,0,0.633720930232558,0.116279069767442,0,0.0348837209302326,0,0.0232558139534884,0,"syllabus6","1918-161","1918-161-01","1918-161-01-01","1918-161-01-01-01","3/10/1919",1,"249 U.S. 204",1918,905,"White","685","FROHWERK v. UNITED STATES","1/27/1919","",126,NA,27,NA,13,NA,NA,0,87,NA,87,NA,0,1,NA,1,1,2,0,0,0,0,30060,3,1,0,4,NA,3,369,"",59,56,1,9,0,"No"
"7",6,0,0.0173913043478261,0.0347826086956522,0,0,0,0.191304347826087,0.0173913043478261,0.0347826086956522,0,0,0,0,0.565217391304348,0.00869565217391304,0,0.130434782608696,0,0,0,"syllabus7","1918-162","1918-162-01","1918-162-01-01","1918-162-01-01-01","3/10/1919",1,"249 U.S. 211",1918,905,"White","714","DEBS v. UNITED STATES","1/27/1919","",126,NA,27,NA,13,NA,NA,0,103,NA,103,NA,0,1,NA,1,1,2,0,0,0,0,30060,3,1,0,4,NA,3,369,"",59,56,1,9,0,"No"
"8",7,0,0,0,0,0,0.0241935483870968,0.233870967741935,0,0,0,0,0.00806451612903226,0,0.701612903225806,0,0,0.00806451612903226,0.0161290322580645,0,0.00806451612903226,"syllabus8","1918-168","1918-168-01","1918-168-01-01","1918-168-01-01-01","3/3/1919",1,"249 U.S. 47",1918,905,"White","437","SCHENCK v. UNITED STATES","1/9/1919","",126,NA,27,NA,13,NA,NA,0,109,NA,109,NA,0,1,NA,1,1,2,0,0,0,0,30060,3,1,0,4,NA,3,346,"",59,56,1,9,0,"Yes"
"9",8,0,0,0,0,0,0,0,0.155172413793103,0.0689655172413793,0,0,0,0,0.689655172413793,0.0344827586206897,0,0.0344827586206897,0.0172413793103448,0,0,"syllabus9","1918-188","1918-188-01","1918-188-01-01","1918-188-01-01-01","3/3/1919",1,"249 U.S. 182",1918,905,"White","345","SUGARMAN v. UNITED STATES","1/9/1919","",126,NA,27,NA,13,NA,NA,0,83,NA,83,NA,0,1,NA,1,1,9,0,0,0,0,30060,3,1,0,4,NA,3,369,"",68,56,1,9,0,"No"
"10",9,0,0,0.0113636363636364,0,0,0,0,0,0,0,0.0113636363636364,0,0,0.886363636363636,0.0113636363636364,0,0.0568181818181818,0,0.0113636363636364,0.0113636363636364,"syllabus10","1919-014","1919-014-01","1919-014-01-01","1919-014-01-01-01","11/10/1919",1,"250 U.S. 616",1919,905,"White","316","ABRAMS et al. v. UNITED STATES","10/21/1919","",142,NA,27,NA,13,NA,NA,0,96,NA,96,NA,0,1,NA,1,1,2,0,0,0,0,30060,3,1,0,3,NA,9,900,"",69,56,1,7,2,"Yes"
