"","index","employees.employee.employment.public.union.board.political.labor.employer.government","general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr","communist.party.organization.board.foreign.registration.act.control.movement.organizations","school.religious.schools.student.establishment.religion.students.forum.program.university","grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation","mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house","act.congress.committee.answer.service.inquiry.president.united.questions.security","opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj","speech.government.interest.act.interests.governmental.opinion.case.united.states","advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting","candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign","injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief","limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate","affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed","false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial","solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north","flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group","obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors","religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales","ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation","syllabus","caseName"
"1",0,0,0.000503524672708963,0,0,0.00352467270896274,0.90281973816717,0,0.0221550855991944,0.00704934541792548,0,0.00453172205438067,0.00100704934541793,0,0.0040281973816717,0.0382678751258812,0,0.0100704934541793,0.00352467270896274,0.000503524672708963,0.00201409869083585,"syllabus1","ROBERT WHITE, PLAINTIFF IN ERROR, v. WILLIAM S. NICHOLLS, WILLIAM ROBINSON, OTHO M. LINTHICUM, EDWARD M. LINTHICUM, RAPHAEL SEMMES, PAUL STEVENS, AND CHARLES C. FULTON, DEFENDANTS IN ERROR."
"2",1,0.0208333333333333,0,0.118055555555556,0.00694444444444444,0,0,0.00694444444444444,0.0277777777777778,0.0555555555555556,0,0,0.277777777777778,0,0.486111111111111,0,0,0,0,0,0,"syllabus2","SMITH AND OTHERS, TRADING UNDER THE FIRM NAME OF STREET & SMITH, APPELLANTS, v. HITCHCOCK, POSTMASTER-GENERAL"
"3",2,0,0,0,0,0.0263157894736842,0.280701754385965,0.00292397660818713,0.10233918128655,0.00292397660818713,0,0,0,0.0584795321637427,0.225146198830409,0.274853801169591,0,0.0263157894736842,0,0,0,"syllabus3","BAKER v. WARNER"
"4",3,0,0,0.110091743119266,0,0.00114678899082569,0.0252293577981651,0,0.00344036697247706,0.018348623853211,0,0.0389908256880734,0.0263761467889908,0,0.127293577981651,0.00458715596330275,0.00114678899082569,0,0.604357798165138,0.0126146788990826,0.0263761467889908,"syllabus4","MUTUAL FILM CORPORATION v. INDUSTRIAL COMMISSION OF OHI"
"5",4,0.00746268656716418,0,0,0,0.119402985074627,0,0,0,0.00746268656716418,0.0298507462686567,0,0,0,0.783582089552239,0.0298507462686567,0,0,0.0223880597014925,0,0,"syllabus5","FOX v. STATE OF WASHINGTON"
"6",5,0,0,0,0,0.00581395348837209,0.116279069767442,0.00581395348837209,0.0348837209302326,0.0232558139534884,0,0,0.00581395348837209,0,0.633720930232558,0.116279069767442,0,0.0348837209302326,0,0.0232558139534884,0,"syllabus6","FROHWERK v. UNITED STATES"
"7",6,0,0.0173913043478261,0.0347826086956522,0,0,0,0.191304347826087,0.0173913043478261,0.0347826086956522,0,0,0,0,0.565217391304348,0.00869565217391304,0,0.130434782608696,0,0,0,"syllabus7","DEBS v. UNITED STATES"
"8",7,0,0,0,0,0,0.0241935483870968,0.233870967741935,0,0,0,0,0.00806451612903226,0,0.701612903225806,0,0,0.00806451612903226,0.0161290322580645,0,0.00806451612903226,"syllabus8","SCHENCK v. UNITED STATES"
"9",8,0,0,0,0,0,0,0,0.155172413793103,0.0689655172413793,0,0,0,0,0.689655172413793,0.0344827586206897,0,0.0344827586206897,0.0172413793103448,0,0,"syllabus9","SUGARMAN v. UNITED STATES"
"10",9,0,0,0.0113636363636364,0,0,0,0,0,0,0,0.0113636363636364,0,0,0.886363636363636,0.0113636363636364,0,0.0568181818181818,0,0.0113636363636364,0.0113636363636364,"syllabus10","ABRAMS et al. v. UNITED STATES"
"11",10,0,0,0.00427350427350427,0,0.00427350427350427,0,0,0.00427350427350427,0,0,0,0,0.00427350427350427,0.700854700854701,0.273504273504274,0,0.00854700854700855,0,0,0,"syllabus11","PIERCE et al. v. UNITED STATES"
"12",11,0,0.0138888888888889,0,0,0.0138888888888889,0.0416666666666667,0,0.222222222222222,0.0833333333333333,0,0,0,0,0.5,0.125,0,0,0,0,0,"syllabus12","GILBERT v. STATE OF MINNESOTA"
"13",12,0,0,0.0101010101010101,0.00505050505050505,0.0858585858585859,0,0.106060606060606,0,0.00505050505050505,0,0,0.267676767676768,0.0101010101010101,0.373737373737374,0.131313131313131,0,0,0,0,0.00505050505050505,"syllabus13","UNITED STATES ex rel. MILWAUKEE SOCIAL DEMOCRATIC PUBLISHING COMPANY v. BURLESON, POSTMASTER GENERAL OF THE UNITED STATES"
"14",13,0.00390625,0.01953125,0,0,0.01171875,0.05078125,0,0,0,0,0,0,0,0.72265625,0,0,0.1875,0,0.00390625,0,"syllabus14","GITLOW v. PEOPLE OF NEW YORK"
"15",14,0.010989010989011,0,0.0366300366300366,0,0.00366300366300366,0.00732600732600733,0.0146520146520147,0.0842490842490843,0.00732600732600733,0,0,0.043956043956044,0,0.73992673992674,0.00732600732600733,0.00366300366300366,0.0256410256410256,0.00366300366300366,0,0.010989010989011,"syllabus15","WHITNEY v. CALIFORNIA"
"16",15,0,0,0,0,0,0.0551724137931034,0.0275862068965517,0,0,0,0,0.0413793103448276,0,0.786206896551724,0.0689655172413793,0,0,0,0.0137931034482759,0.00689655172413793,"syllabus16","BURNS v. UNITED STATES"
"17",16,0.0111731843575419,0,0,0,0.00558659217877095,0.0502793296089385,0,0,0,0,0,0.0279329608938547,0.00558659217877095,0.843575418994413,0.0223463687150838,0,0.0279329608938547,0,0.00558659217877095,0,"syllabus17","FISKE v. KANSAS"
"18",17,0,0,0.0136986301369863,0,0.0228310502283105,0,0.0045662100456621,0,0.114155251141553,0,0,0,0.0319634703196347,0.479452054794521,0,0,0.333333333333333,0,0,0,"syllabus18","STROMBERG v. CALIFORNIA"
"19",18,0,0,0.00403225806451613,0,0.0483870967741935,0.0282258064516129,0,0,0,0,0,0.100806451612903,0,0.318548387096774,0.459677419354839,0,0.00403225806451613,0.00806451612903226,0.0282258064516129,0,"syllabus19","NEAR v. MINNESOTA EX REL. OLSON, COUNTY ATTORNEY"
"20",19,0,0,0,0,0,0.0196078431372549,0,0,0.00980392156862745,0,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.941176470588235,0,0,0,0,0,0,"syllabus20","DE JONGE v. OREGON"
"21",20,0,0,0.134831460674157,0,0,0,0,0,0.0337078651685393,0.0112359550561798,0,0,0,0.775280898876405,0,0,0.0449438202247191,0,0,0,"syllabus21","HERNDON v. LOWRY, SHERIFF"
"22",21,0.0206185567010309,0,0,0,0.0206185567010309,0,0,0,0,0.0103092783505155,0,0,0,0.587628865979381,0,0.0103092783505155,0,0.0927835051546392,0.0103092783505155,0.247422680412371,"syllabus22","LOVELL v. CITY OF GRIFFIN"
"23",22,0.0179282868525896,0,0.0099601593625498,0,0.00398406374501992,0.0836653386454183,0,0.0597609561752988,0.0099601593625498,0,0,0.00597609561752988,0.00398406374501992,0.633466135458167,0,0,0.00398406374501992,0,0,0.167330677290837,"syllabus23","HAGUE, MAYOR, et al. v. COMMITTEE FOR INDUSTRIAL ORGANIZATION et al."
"24",23,0.00485436893203883,0,0,0,0.0194174757281553,0.0485436893203883,0,0,0.0776699029126214,0,0,0,0,0.378640776699029,0,0.0194174757281553,0,0,0.00970873786407767,0.441747572815534,"syllabus24","SCHNEIDER v. STATE (TOWN OF IRVINGTON)"
"25",24,0,0,0.0522388059701493,0.298507462686567,0,0,0,0.0746268656716418,0.00746268656716418,0,0,0.0671641791044776,0,0.343283582089552,0,0,0.0671641791044776,0,0.0895522388059701,0,"syllabus25","MINERSVILLE SCHOOL DISTRICT, BOARD OF EDUCATION OF MINERSVILLE SCHOOL DISTRICT, et al. v. GOBITIS et al."
